"Touch 5869564048 ended at: Vec2(144.0, 373.0)",144,373
"State 5869564048 ended at: Vec2(146.5, 120.0)",146,120
"Touch 5870605952 ended at: Vec2(286.5, 242.5)",,
"State 5870605952 ended at: Vec2(71.0, 256.0)",,
"Touch 5919885664 moved to: Vec2(158.0, 312.5)",,
"Touch 5919885664 moved to: Vec2(152.5, 288.0)",,
"Touch 5919885664 ended at: Vec2(161.0, 54.5)",,
"State 5919885664 ended at: Vec2(161.5, 330.0)",,
"Touch 5948709200 ended at: Vec2(14.0, 246.0)",,
"State 5948709200 ended at: Vec2(226.0, 213.0)",,
